Country,SalesRep_Code,salesrepemployeeid_z,yearmonth,MTD Sales,MTD Target,UserKey_4Map,Column1
SG,T406,JTohPE,2024-07-01,216638.2800000001,0.0,SG_MR_T406,-216638.2800000001
SG,T406,JTohPE,2024-08-01,80623.22,0.0,SG_MR_T406,-80623.22
SG,T201,SLLIM,2024-07-01,97573.26999999995,0.0,SG_MR_T201,-97573.26999999995
SG,T201,SLLIM,2024-08-01,26066.32000000001,0.0,SG_MR_T201,-26066.32000000001
SG,T103,KLEONG,2024-07-01,730789.4899999994,0.0,SG_MR_T103,-730789.4899999994
SG,T103,KLEONG,2024-08-01,290214.85000000015,0.0,SG_MR_T103,-290214.85000000015
SG,E007,YTKChee,2024-07-01,91139.84000000003,0.0,SG_MR_E007,-91139.84000000003
SG,Z2G2,GRobles;SGKMUKHTIARSINGH;XYLEE;efira.nazri;nur.asyiqin;sonrmjit.kaur;thanasanthini,2024-07-01,51125.88000000002,0.0,SG_MR_Z2G2,-51125.88000000002
SG,Z2G2,GRobles;SGKMUKHTIARSINGH;XYLEE;efira.nazri;nur.asyiqin;sonrmjit.kaur;thanasanthini,2024-08-01,26729.489999999994,0.0,SG_MR_Z2G2,-26729.489999999994
SG,T403,JJIANGCC,2024-07-01,295247.5300000001,0.0,SG_MR_T403,-295247.5300000001
SG,T403,JJIANGCC,2024-08-01,105718.44,0.0,SG_MR_T403,-105718.44
SG,E010,KPalani;LMtan,2024-07-01,193993.2,0.0,SG_MR_E010,-193993.2
SG,E010,KPalani;LMtan,2024-08-01,54551.07999999998,0.0,SG_MR_E010,-54551.07999999998
SG,E009,MTANHF,2024-07-01,136485.57,0.0,SG_MR_E009,-136485.57
SG,T203,ITEOW,2024-07-01,199352.49,0.0,SG_MR_T203,-199352.49
SG,T203,ITEOW,2024-08-01,31165.389999999992,0.0,SG_MR_T203,-31165.389999999992
SG,T303,lleejf,2024-07-01,473035.36,0.0,SG_MR_T303,-473035.36
SG,T303,lleejf,2024-08-01,134963.54,0.0,SG_MR_T303,-134963.54
SG,E001,spslim,2024-08-01,24325.74,0.0,SG_MR_E001,-24325.74
SG,E002,aataladtad,2024-07-01,23867.44,0.0,SG_MR_E002,-23867.44
SG,ALCO1,SGALCON_Alicia.Tey,2024-07-01,280888.9399999999,0.0,SG_MR_ALCO1,-280888.9399999999
SG,ALCO1,SGALCON_Alicia.Tey,2024-08-01,114896.59999999999,0.0,SG_MR_ALCO1,-114896.59999999999
SG,E013,WWangWC;eljchan,2024-07-01,928158.0899999999,0.0,SG_MR_E013,-928158.0899999999
SG,E013,WWangWC;eljchan,2024-08-01,309441.14,0.0,SG_MR_E013,-309441.14
SG,E005,AWQTan;AYQKhong;JLHoon,2024-07-01,53016.85000000001,0.0,SG_MR_E005,-53016.85000000001
SG,E005,AWQTan;AYQKhong;JLHoon,2024-08-01,11928.449999999999,0.0,SG_MR_E005,-11928.449999999999
SG,T301,AATHAN,2024-08-01,1807.5899999999997,0.0,SG_MR_T301,-1807.5899999999997
SG,T301,AATHAN,2024-07-01,6850.070000000001,0.0,SG_MR_T301,-6850.070000000001
SG,E003,QXOChua,2024-08-01,12832.880000000001,0.0,SG_MR_E003,-12832.880000000001
SG,E003,QXOChua,2024-07-01,47193.44,0.0,SG_MR_E003,-47193.44
SG,T202,JTAN;sphtan,2024-07-01,26179.60000000001,0.0,SG_MR_T202,-26179.60000000001
SG,T202,JTAN;sphtan,2024-08-01,9837.400000000009,0.0,SG_MR_T202,-9837.400000000009
SG,E004,NCYChng,2024-07-01,23027.919999999995,0.0,SG_MR_E004,-23027.919999999995
SG,E015,cyjwong,2024-07-01,302867.73999999993,0.0,SG_MR_E015,-302867.73999999993
SG,E015,cyjwong,2024-08-01,87111.39000000001,0.0,SG_MR_E015,-87111.39000000001
SG,ALCO2,SGALCON_Wendy.Goh,2024-07-01,272460.87,0.0,SG_MR_ALCO2,-272460.87
SG,ZE0,NONG,2024-08-01,69.48,0.0,SG_MR_ZE0,-69.48
SG,T101,khinhninsu,2024-07-01,142133.19,0.0,SG_MR_T101,-142133.19
SG,T101,khinhninsu,2024-08-01,35531.019999999975,0.0,SG_MR_T101,-35531.019999999975
SG,T104,jokueh;xechoong,2024-07-01,46787.94000000001,0.0,SG_MR_T104,-46787.94000000001
SG,T104,jokueh;xechoong,2024-08-01,8062.3899999999985,0.0,SG_MR_T104,-8062.3899999999985
SG,T109,cskok,2024-07-01,46226.44999999994,0.0,SG_MR_T109,-46226.44999999994
SG,T109,cskok,2024-08-01,11823.790000000005,0.0,SG_MR_T109,-11823.790000000005
SG,T102,BTeo,2024-07-01,876178.55,0.0,SG_MR_T102,-876178.55
SG,T102,BTeo,2024-08-01,217513.37000000002,0.0,SG_MR_T102,-217513.37000000002
SG,T106,PLIMBW,2024-07-01,14269.100000000006,0.0,SG_MR_T106,-14269.100000000006
SG,T106,PLIMBW,2024-08-01,2134.83,0.0,SG_MR_T106,-2134.83
SG,E012,SLJLim,2024-07-01,354723.59,0.0,SG_MR_E012,-354723.59
SG,E012,SLJLim,2024-08-01,168007.97,0.0,SG_MR_E012,-168007.97
SG,E011,KPalani,2024-07-01,425699.1500000003,0.0,SG_MR_E011,-425699.1500000003
SG,E011,KPalani,2024-08-01,198511.8699999999,0.0,SG_MR_E011,-198511.8699999999
SG,E009,MTANHF,2024-08-01,64643.72999999999,0.0,SG_MR_E009,-64643.72999999999
SG,ALCO2,SGALCON_Wendy.Goh,2024-08-01,64758.439999999995,0.0,SG_MR_ALCO2,-64758.439999999995
SG,E001,spslim,2024-07-01,57329.799999999996,0.0,SG_MR_E001,-57329.799999999996
SG,E008,CSOW,2024-07-01,112735.94000000002,0.0,SG_MR_E008,-112735.94000000002
SG,E007,YTKChee,2024-08-01,66014.32,0.0,SG_MR_E007,-66014.32
SG,E008,CSOW,2024-08-01,21190.969999999998,0.0,SG_MR_E008,-21190.969999999998
SG,TLS1,GRobles;SGKMUKHTIARSINGH;XYLEE;anita.manoharan;ckwyap;efira.nazri;sonrmjit.kaur;thanasanthini;wlwee,2024-08-01,17689.960000000003,0.0,SG_MR_TLS1,-17689.960000000003
SG,E002,aataladtad,2024-08-01,11268.099999999997,0.0,SG_MR_E002,-11268.099999999997
SG,E006,klaong,2024-08-01,37792.579999999994,0.0,SG_MR_E006,-37792.579999999994
SG,E004,NCYChng,2024-08-01,11826.54,0.0,SG_MR_E004,-11826.54
SG,E016,HYLChia,2024-07-01,7059.98,0.0,SG_MR_E016,-7059.98
SG,E016,HYLChia,2024-08-01,400.0,0.0,SG_MR_E016,-400.0
SG,TLS2,ckwyap;nur.asyiqin;thanasanthini;wlwee,2024-08-01,2118.9799999999996,0.0,SG_MR_TLS2,-2118.9799999999996
SG,ESS4,KPalani;MTANHF,2024-07-01,10792.86,0.0,SG_MR_ESS4,-10792.86
SG,ESS1,JLHoon;NCYChng;QXOChua;aataladtad;spslim,2024-07-01,250709.2,0.0,SG_MR_ESS1,-250709.2
SG,ESS1,JLHoon;NCYChng;QXOChua;aataladtad;spslim,2024-08-01,53606.56,0.0,SG_MR_ESS1,-53606.56
PH,CHCSEGMA08,hroca,2024-07-01,775128.0756999998,0.0,PH_CHCSEGMA08,-775128.0756999998
PH,CHC4NAT04,JSMercado,2024-07-01,1648365.7168000028,0.0,PH_CHC4NAT04,-1648365.7168000028
PH,CHCVIS01,mgalido,2024-07-01,1150397.1329000008,0.0,PH_CHCVIS01,-1150397.1329000008
PH,CHCVIS02,omanalac,2024-07-01,1470400.4379000005,0.0,PH_CHCVIS02,-1470400.4379000005
PH,CHCMIN06,sdiendo,2024-07-01,2003585.8750000023,0.0,PH_CHCMIN06,-2003585.8750000023
PH,CHCVIS05,mlozare;rpoctaviano,2024-07-01,943394.7939000003,0.0,PH_CHCVIS05,-943394.7939000003
PH,CHCNWGMA01,jalbino,2024-07-01,2303342.017400004,0.0,PH_CHCNWGMA01,-2303342.017400004
PH,CHCNL04,vocampo,2024-07-01,1130690.5203000025,0.0,PH_CHCNL04,-1130690.5203000025
PH,CHCSEGMA07,AQAntonio;hdaquioag,2024-07-01,1300178.4928000008,0.0,PH_CHCSEGMA07,-1300178.4928000008
PH,CHCMIN04,jdiga,2024-07-01,1069586.2274000004,0.0,PH_CHCMIN04,-1069586.2274000004
PH,CHCVIS07,LDagami;jalonso,2024-07-01,1194367.8537000017,0.0,PH_CHCVIS07,-1194367.8537000017
PH,CHCVIS03,hhudierez,2024-07-01,2563121.4020000007,0.0,PH_CHCVIS03,-2563121.4020000007
PH,CHCSL07,mjromano,2024-07-01,1371537.6339000014,0.0,PH_CHCSL07,-1371537.6339000014
PH,CHCSL06,mmagno,2024-07-01,1382332.1813000015,0.0,PH_CHCSL06,-1382332.1813000015
PH,CHCDERM05,rabegonia,2024-07-01,796736.2927000008,0.0,PH_CHCDERM05,-796736.2927000008
PH,GASNATL05,amdizon,2024-07-01,4457282.939999996,0.0,PH_GASNATL05,-4457282.939999996
PH,CHCDERM06,BJAlcancia,2024-07-01,1443935.969800002,0.0,PH_CHCDERM06,-1443935.969800002
PH,CHCNL01,alhernandez,2024-07-01,1155153.659800001,0.0,PH_CHCNL01,-1155153.659800001
PH,GASNATL01,mlibunao,2024-07-01,3666762.0899999957,0.0,PH_GASNATL01,-3666762.0899999957
PH,CHCNL02,dtajon,2024-07-01,694581.4475000002,0.0,PH_CHCNL02,-694581.4475000002
PH,CHCSL04,cdancel,2024-07-01,1649965.5728000007,0.0,PH_CHCSL04,-1649965.5728000007
PH,CHC4NAT03,JMConcepcion,2024-07-01,2163639.5793000003,0.0,PH_CHC4NAT03,-2163639.5793000003
PH,CHCSEGMA06,mrvelasco;ramistad,2024-07-01,2165848.8123000017,0.0,PH_CHCSEGMA06,-2165848.8123000017
PH,CHCDERM03,MALagman;mnebres,2024-07-01,897649.1029000003,0.0,PH_CHCDERM03,-897649.1029000003
PH,CHCMIN01,jaburgos,2024-07-01,1143926.511700001,0.0,PH_CHCMIN01,-1143926.511700001
PH,CHCSEGMA05,ssy,2024-07-01,334164.00000000006,0.0,PH_CHCSEGMA05,-334164.00000000006
PH,CHCMIN07,NJPo;VSimbajon;ttelen,2024-07-01,650358.5869,0.0,PH_CHCMIN07,-650358.5869
PH,CHCVIS04,mguy,2024-07-01,1448607.5745000006,0.0,PH_CHCVIS04,-1448607.5745000006
PH,CHCSL05,jbaculi,2024-07-01,2230672.9506000048,0.0,PH_CHCSL05,-2230672.9506000048
PH,CHCNL07,galvarez,2024-07-01,1086005.866100001,0.0,PH_CHCNL07,-1086005.866100001
PH,CHCSEGMA03,mcaimoy,2024-07-01,1155626.3934000009,0.0,PH_CHCSEGMA03,-1155626.3934000009
PH,CHC4NAT01,CBundalian,2024-07-01,937059.5047,0.0,PH_CHC4NAT01,-937059.5047
PH,CHCSL01,scaranay,2024-07-01,1941725.1974999995,0.0,PH_CHCSL01,-1941725.1974999995
PH,CHCNWGMA04,sdelosreyes,2024-07-01,771558.0671000001,0.0,PH_CHCNWGMA04,-771558.0671000001
PH,CHCNL06,jesantiago,2024-07-01,943685.1398000005,0.0,PH_CHCNL06,-943685.1398000005
PH,CHCNWGMA05,ambongalon,2024-07-01,1352826.844400002,0.0,PH_CHCNWGMA05,-1352826.844400002
PH,CHCNWGMA08,dmanzano,2024-07-01,635673.2199000004,0.0,PH_CHCNWGMA08,-635673.2199000004
PH,CHCDERM07,mprado,2024-07-01,998473.9071000008,0.0,PH_CHCDERM07,-998473.9071000008
