Country,Product_Group_Use,SalesRep_Code,yearmonth,MTD Sales,UserKey_4Map
TW,ZZZCCC,BFC6,2024-08-01,324248.0,TW_BFC6
TW,ZZZCCC,BFC4,2024-08-01,35524.0,TW_BFC4
TW,ZZZCCC,BFS6,2024-08-01,48629.0,TW_BFS6
TW,ZZZCCC,BBS5,2024-08-01,66153.0,TW_BBS5
TW,ZZZCCC,BFS8,2024-08-01,6095.0,TW_BFS8
TW,ZZZCCC,BFS5,2024-08-01,51333.0,TW_BFS5
TW,ZZZCCC,BFSA,2024-08-01,24954.0,TW_BFSA
TW,ZZZCCC,BFR4,2024-08-01,97389.0,TW_BFR4
TW,ZZZCCC,BJS8,2024-08-01,0.0,TW_BJS8
TW,ZZZCCC,BFS7,2024-08-01,12933.0,TW_BFS7
TW,ZZZCCC,BAK1,2024-08-01,43596.0,TW_BAK1
TW,ZZZCCC,BBN4,2024-08-01,148473.0,TW_BBN4
TW,ZZZCCC,BFR3,2024-08-01,115085.0,TW_BFR3
TW,ZZZCCC,BAL1,2024-08-01,24149.0,TW_BAL1
TW,ZZZCCC,BFC5,2024-08-01,34525.0,TW_BFC5
TW,ZZZCCC,BFS2,2024-08-01,45003.0,TW_BFS2
TW,ZZZCCC,BJE3,2024-08-01,43981.0,TW_BJE3
TW,ZZZCCC,BFN3,2024-08-01,24686.0,TW_BFN3
TW,ZZZCCC,BBBUM,2024-08-01,0.0,TW_BBBUM
TW,ZZZCCC,BFN5,2024-08-01,21970.0,TW_BFN5
TW,ZZZCCC,BFN1,2024-08-01,45601.0,TW_BFN1
TW,ZZZCCC,BFC7,2024-08-01,15239.0,TW_BFC7
TW,ZZZCCC,BFR7,2024-08-01,63624.0,TW_BFR7
TW,ZZZCCC,BAW1,2024-08-01,127903.0,TW_BAW1
TW,ZZZCCC,BAW2,2024-08-01,99177.0,TW_BAW2
TW,ZZZCCC,BU11_S1,2024-08-01,1857.0,TW_BU11_S1
TW,ZZZCCC,BU11_C1,2024-08-01,14286.0,TW_BU11_C1
TW,ZZZCCC,BU11_N3,2024-08-01,28973.0,TW_BU11_N3
TW,ZZZCCC,BAK2,2024-08-01,810.0,TW_BAK2
TW,ZZZCCC,BFSB,2024-08-01,3047.0,TW_BFSB
TW,JANUME,BFC4,2024-08-01,365307.0,TW_BFC4
TW,JANUME,BFR7,2024-08-01,624836.0,TW_BFR7
TW,JANUME,BFC3,2024-08-01,835537.0,TW_BFC3
TW,JANUME,BFN2,2024-08-01,332311.0,TW_BFN2
TW,JANUME,BFS1,2024-08-01,763099.0,TW_BFS1
TW,JANUME,BIBI,2024-08-01,175965.0,TW_BIBI
TW,JANUME,BIDM,2024-08-01,179681.0,TW_BIDM
TW,JANUME,BFR4,2024-08-01,322926.0,TW_BFR4
TW,JANUME,BIED,2024-08-01,367350.0,TW_BIED
TW,JANUME,BFC1,2024-08-01,256356.0,TW_BFC1
TW,JANUME,BFC7,2024-08-01,233576.0,TW_BFC7
TW,JANUME,BFS8,2024-08-01,448398.0,TW_BFS8
TW,JANUME,BFSB,2024-08-01,463506.0,TW_BFSB
TW,JANUME,BIEL,2024-08-01,268679.0,TW_BIEL
TW,JANUME,BFN1,2024-08-01,352817.0,TW_BFN1
TW,JANUME,BFN3,2024-08-01,401097.0,TW_BFN3
TW,JANUME,BFR2,2024-08-01,585442.0,TW_BFR2
TW,JANUME,BFR5,2024-08-01,712493.0,TW_BFR5
TW,JANUME,BFS2,2024-08-01,523342.0,TW_BFS2
TW,JANUME,BFS5,2024-08-01,803241.0,TW_BFS5
TW,JANUME,BFS6,2024-08-01,249236.0,TW_BFS6
TW,JANUME,BIDK,2024-08-01,465354.0,TW_BIDK
TW,JANUME,BIEJ,2024-08-01,99242.0,TW_BIEJ
TW,JANUME,BFR1,2024-08-01,132258.0,TW_BFR1
TW,JANUME,BIEA,2024-08-01,329765.0,TW_BIEA
TW,JANUME,BFSC,2024-08-01,332142.0,TW_BFSC
